Day,Num,pH7.0V,pH7.5V,pH8.1S,pH8.1V,pH7.0S,pH7.5S
D3,258,6.886031,7.332485,8.10078,7.611732,6.998572,7.496763
D3,259,6.82055,7.293074,8.099641,7.644749,6.997525,7.496155
D3,260,6.815819,7.291821,8.100754,7.617681,6.998317,7.493542
D3,261,6.81754,7.292542,8.100775,7.638472,7.000583,7.497035
D3,262,6.839215,7.283582,8.100995,7.606918,6.999948,7.490965
D3,263,6.77972,7.251524,8.100658,7.655683,6.998759,7.492424
D3,264,6.762777,7.246355,8.098521,7.688238,6.997766,7.491773
D3,265,6.762891,7.254177,8.100535,7.666627,6.998449,7.497607
D3,266,6.788615,7.232833,8.100895,7.668303,6.99903,7.496797
D3,267,6.740264,7.195163,8.100995,7.713472,7.0001,7.492246
D4,268,6.720852,7.193719,8.100716,7.749177,7.000538,7.493264
D4,269,6.713544,7.192607,8.10071,7.757208,6.996881,7.482354
D4,270,6.70969,7.195282,8.094157,7.759154,6.970134,7.482073
D4,271,6.711978,7.185028,8.087152,7.753726,6.964253,7.482086
D4,272,6.733223,7.185033,8.087178,7.759142,6.980427,7.484874
D4,273,6.741456,7.194978,8.086523,7.759128,6.980249,7.48501
D4,274,6.784956,7.26293,8.099791,7.791996,7.014249,7.492173
D4,275,6.873481,7.309048,8.102286,7.840721,6.999426,7.493296
D4,276,6.938667,7.308594,8.101427,7.849586,7.000841,7.497292
D4,277,6.99119,7.3092,8.101487,7.835637,7.000669,7.49559
D4,278,6.971804,7.34737,8.101075,7.840677,7.00128,7.490669
D4,279,6.880153,7.361043,8.100742,7.864973,7.000612,7.497547
